prompt_name,question,avg_time,std_time,avg_readability,readability_interpretation,avg_word_count,word_count_compliance,successful_runs,sample_responses,all_responses,category,test_config
original_basic,How are you feeling today?,10.46380885442098,1.3611337301729873,46.01428571428575,Difficult (College),6.0,0.0,3,"['Feeling pretty level today, alhamdulillah.', 'My energy is steady; just moving along.', 'Things are running as expected, no surprises.']","[['Feeling pretty level today, alhamdulillah.', 'My energy is steady; just moving along.', 'Things are running as expected, no surprises.'], ['My day is progressing as normal, alhamdulillah.', 'Feeling about the same today.', 'Everything feels steady, thank God.'], [""Alhamdulillah, I'm feeling consistent today."", ""I'm doing as well as expected, thank you."", 'My day is progressing steadily.']]",original,Sarah Ahmed_Medical
original_organized,How are you feeling today?,7.136195023854573,0.2286291278979946,42.50202380952383,Difficult (College),6.777777777777778,0.0,3,"[""I'm feeling generally stable today, thank you."", 'My day is progressing as usual, no concerns.', 'About the same as yesterday, alhamdulillah.']","[[""I'm feeling generally stable today, thank you."", 'My day is progressing as usual, no concerns.', 'About the same as yesterday, alhamdulillah.'], [""Alhamdulillah, I'm feeling stable today. Nothing new to report."", 'My energy levels are moderate today, which is my usual. Thank God.', ""I'm feeling even-keel today, thankfully. Just maintaining.""], ['Feeling stable today, alhamdulillah.', ""I'm doing alright."", 'No major changes to report.']]",original,Sarah Ahmed_Medical
original_strict,How are you feeling today?,6.868084033330281,1.8364534548834615,66.37694250194252,Standard (8-9th grade),10.555555555555555,0.0,3,"[""I'm feeling quite balanced today, just navigating things as they come, alhamdulillah."", 'Today is a steady day for me; everything feels pretty much as it should.', 'All is well, team – nothing dramatic to report, which is always a relief.']","[[""I'm feeling quite balanced today, just navigating things as they come, alhamdulillah."", 'Today is a steady day for me; everything feels pretty much as it should.', 'All is well, team – nothing dramatic to report, which is always a relief.'], [""Alhamdulillah, I'm feeling much the same as usual today, thank you."", ""Today is much like any other; I'm doing fine, thanks for asking."", 'Everything is stable today, with no particular changes to note.'], ['Today feels pretty much the same, thank you.', ""I'm feeling stable, thanks for checking in."", 'Everything is as expected for me today.']]",original,Sarah Ahmed_Medical
optimized_concise,How are you feeling today?,7.747580607732137,0.40503096048355197,56.334371657754026,Fairly Difficult (10-12th),12.444444444444445,33.33333333333333,3,"[""I'm feeling about the same today, no significant changes to report."", ""Physically, I'm stable. My thoughts feel clear and organised."", 'Just managing things as usual; my routine is working well.']","[[""I'm feeling about the same today, no significant changes to report."", ""Physically, I'm stable. My thoughts feel clear and organised."", 'Just managing things as usual; my routine is working well.'], [""I'm feeling much the same as usual today. Everything feels pretty consistent, which is always good."", 'My feeling today is neutral; nothing stands out as particularly good or bad. Just observing my body.', 'My current state is stable. There are no significant changes to report, which is my usual baseline.'], [""I'm feeling much the same as yesterday, no significant changes to report."", ""Everything is organised and running smoothly, so I'm feeling settled."", ""I'm managing well today; just taking things steadily, as always.""]]",optimized,Sarah Ahmed_Medical
optimized_structured,How are you feeling today?,7.952312707901001,1.5074151498901411,51.27900044228219,Fairly Difficult (10-12th),16.666666666666668,88.88888888888889,3,"['I am feeling quite neutral today, neither high nor low. My body and mind are simply going about their routine.', 'Today, my state is stable and unremarkable. Nothing specific is causing me discomfort or particular joy at this moment.', ""My feelings are fairly balanced today, a steady state. I'm simply here, observing things as they unfold.""]","[['I am feeling quite neutral today, neither high nor low. My body and mind are simply going about their routine.', 'Today, my state is stable and unremarkable. Nothing specific is causing me discomfort or particular joy at this moment.', ""My feelings are fairly balanced today, a steady state. I'm simply here, observing things as they unfold.""], ['My current physical status is consistent with recent observations. No significant alterations to report at this time.', 'My general functioning remains steady. I am proceeding through my established daily schedule without notable issues.', 'I am experiencing no new or unusual sensations today. My overall condition is maintaining its usual pattern.'], [""I'm feeling about the same as yesterday, thank you. Things are stable and moving along."", ""My day is progressing steadily. I'm maintaining my routine, so things are quite consistent."", ""I'm feeling much the same as usual today. There are no significant changes to report.""]]",optimized,Sarah Ahmed_Medical
optimized_example_driven,How are you feeling today?,5.800315062204997,1.0104256777034402,62.76136363636366,Standard (8-9th grade),9.555555555555555,0.0,3,"[""I'm feeling alright today, just going with the flow. Alhamdulillah."", 'My day is progressing steadily, no major changes to report.', ""I'm stable today, finding comfort in my routine.""]","[[""I'm feeling alright today, just going with the flow. Alhamdulillah."", 'My day is progressing steadily, no major changes to report.', ""I'm stable today, finding comfort in my routine.""], [""I'm feeling much the same today, no big shifts to report."", 'Everything seems consistent for me today, nothing new really.', 'My general state is steady, thank you. Just going with the flow.'], [""I'm feeling much the same as yesterday, nothing new."", 'My general state is consistent today, no specific changes.', 'Everything feels quite steady, just my usual self.']]",optimized,Sarah Ahmed_Medical
optimized_minimal,How are you feeling today?,3.819436232248942,0.6141641273129658,54.277851592851626,Fairly Difficult (10-12th),11.11111111111111,0.0,3,"[""I'm feeling about the same as usual, thank you for asking."", ""My state is stable, and I'm comfortable right now."", 'Today feels like a regular day, nothing particularly new.']","[[""I'm feeling about the same as usual, thank you for asking."", ""My state is stable, and I'm comfortable right now."", 'Today feels like a regular day, nothing particularly new.'], ['My physical state remains much the same as it has been recently.', 'I am continuing along with the day without any specific concerns to mention.', 'Today feels consistent with prior days; no significant changes are evident.'], ['My overall state is consistent with my baseline, no notable changes.', 'No new developments to report about my well-being today, thank you.', 'I am feeling as usual today, nothing out of the ordinary to mention.']]",optimized,Sarah Ahmed_Medical
original_basic,Do you need any help with that?,9.590451717376709,1.4054742144345227,91.9125396825397,Very Easy (5th grade),5.222222222222222,0.0,3,"['Yes, please.', 'No, thank you.', 'I am managing for now.']","[['Yes, please.', 'No, thank you.', 'I am managing for now.'], [""I'm all set at the moment."", 'No help is needed right now.', ""I'm fine with it for now.""], [""Alhamdulillah, I'm managing fine, thank you."", ""Could you clarify what 'that' refers to?"", 'I appreciate the offer, thank you.']]",original,Sarah Ahmed_Medical
original_organized,Do you need any help with that?,9.990459362665812,4.026903899022438,79.65992673992676,Fairly Easy (7th grade),10.222222222222221,22.22222222222222,3,"[""Alhamdulillah, I'm all good for now! Like a well-composed song, everything's in harmony. 🎶"", ""Thanks for the offer! I've got this handled, no extra hands required. My inner organizer is on duty! 😉"", 'Actually, yes, that would be lovely! My brain cells were just about to go on strike. 😅']","[[""Alhamdulillah, I'm all good for now! Like a well-composed song, everything's in harmony. 🎶"", ""Thanks for the offer! I've got this handled, no extra hands required. My inner organizer is on duty! 😉"", 'Actually, yes, that would be lovely! My brain cells were just about to go on strike. 😅'], [""I'm managing it for now, thank you."", 'No help needed at the moment.', ""I'm all set, appreciate you checking.""], [""I'm managing it well, thank you."", ""No, I'm all set for now, thanks."", 'Not needed at the moment, I appreciate you checking in.']]",original,Sarah Ahmed_Medical
original_strict,Do you need any help with that?,7.453093608220418,2.7995421409029566,85.47013875013879,Easy (6th grade),8.777777777777779,0.0,3,"[""No, I'm okay for now, thank you."", ""I don't need assistance with that at the moment."", ""I'm managing this quite well, thank you.""]","[[""No, I'm okay for now, thank you."", ""I don't need assistance with that at the moment."", ""I'm managing this quite well, thank you.""], [""I'm managing fine right now, thank you for offering."", ""No help needed at the moment, I've got it covered."", ""I appreciate the offer, but I'm doing alright on my own.""], [""No thank you, I'm okay."", ""I'm managing this fine on my own, thanks."", ""I don't need any help at the moment, but I appreciate you asking.""]]",original,Sarah Ahmed_Medical
